#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
GUT_GENOME010010_00022	1232443.BAIA02000057_gene1351	7.4e-51	206.8	unclassified Clostridiales	spoIIAB	GO:0000003,GO:0000988,GO:0000989,GO:0003674,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0016989,GO:0019219,GO:0019222,GO:0019954,GO:0030436,GO:0031323,GO:0031326,GO:0032502,GO:0043934,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2000112,GO:2001141	2.7.11.1	ko:K06379					ko00000,ko01000				Bacteria	1V6V2@1239,24JPT@186801,268UD@186813,COG2172@1,COG2172@2	NA|NA|NA	T	Binds to sigma F and blocks its ability to form an RNA polymerase holoenzyme (E-sigma F). Phosphorylates SpoIIAA on a serine residue. This phosphorylation may enable SpoIIAA to act as an anti-anti-sigma factor that counteracts SpoIIAB and thus releases sigma F from inhibition
GUT_GENOME010010_00023	537013.CLOSTMETH_03320	3e-71	275.0	Ruminococcaceae	sigF			ko:K03091					ko00000,ko03021				Bacteria	1V296@1239,24GTU@186801,3WGPV@541000,COG1191@1,COG1191@2	NA|NA|NA	K	Belongs to the sigma-70 factor family
GUT_GENOME010010_00031	1235835.C814_03086	7.6e-116	423.7	Ruminococcaceae	dus			ko:K05540					ko00000,ko01000,ko03016				Bacteria	1TQ2R@1239,248HD@186801,3WGDN@541000,COG0042@1,COG0042@2	NA|NA|NA	H	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
GUT_GENOME010010_00124	386415.NT01CX_0640	2.1e-201	708.8	Clostridiaceae	ywjA	GO:0003674,GO:0003824,GO:0005215,GO:0005319,GO:0006810,GO:0006869,GO:0008150,GO:0010876,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0033036,GO:0034040,GO:0042623,GO:0042626,GO:0043492,GO:0051179,GO:0051234,GO:0055085,GO:0071702		ko:K06147					ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21			Bacteria	1TP0B@1239,247Q0@186801,36E4P@31979,COG1132@1,COG1132@2	NA|NA|NA	V	ABC transporter
GUT_GENOME010010_00141	1051501.AYTL01000028_gene1913	2.5e-78	299.7	Bacillus	dltA	GO:0000166,GO:0000270,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0006810,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016208,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0022857,GO:0030203,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034645,GO:0036094,GO:0042546,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0051179,GO:0051234,GO:0055085,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576	6.1.1.13	ko:K03367	ko00473,ko01503,ko02020,ko05150,map00473,map01503,map02020,map05150	M00725	R02718	RC00037,RC00094	ko00000,ko00001,ko00002,ko01000,ko01504				Bacteria	1TPTH@1239,1ZB3S@1386,4HAHU@91061,COG1020@1,COG1020@2	NA|NA|NA	Q	Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall
GUT_GENOME010010_00169	445971.ANASTE_01286	3e-95	355.5	Clostridia	wblG												Bacteria	1UYBT@1239,24I1K@186801,COG0438@1,COG0438@2	NA|NA|NA	M	glycosyl transferase group 1
GUT_GENOME010010_00170	293826.Amet_0209	8.2e-83	314.3	Clostridiaceae			2.4.1.11	ko:K16150	ko00500,ko01100,map00500,map01100		R00292	RC00005	ko00000,ko00001,ko01000,ko01003		GT4		Bacteria	1TPS8@1239,25F0H@186801,36UU5@31979,COG0438@1,COG0438@2	NA|NA|NA	H	Glycosyltransferase Family 4
GUT_GENOME010010_00173	500632.CLONEX_00183	1e-211	742.7	Clostridia	wbpA		1.1.1.136	ko:K02474,ko:K13015	ko00520,map00520		R00421,R06894	RC00291	ko00000,ko00001,ko01000,ko01005				Bacteria	1TPXY@1239,248NW@186801,COG0677@1,COG0677@2	NA|NA|NA	M	Belongs to the UDP-glucose GDP-mannose dehydrogenase family
GUT_GENOME010010_00174	500632.CLONEX_00179	2.1e-178	631.7	Clostridia	bplA		1.1.1.335	ko:K13020	ko00520,map00520		R10140	RC00182	ko00000,ko00001,ko01000,ko01005				Bacteria	1TP83@1239,248XQ@186801,COG0673@1,COG0673@2	NA|NA|NA	S	domain protein
GUT_GENOME010010_00182	658086.HMPREF0994_01140	5.9e-96	357.5	unclassified Lachnospiraceae	eno		4.2.1.11	ko:K01689	ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066	M00001,M00002,M00003,M00346,M00394	R00658	RC00349	ko00000,ko00001,ko00002,ko01000,ko03019,ko04147				Bacteria	1TP2S@1239,247TU@186801,27JIC@186928,COG0148@1,COG0148@2	NA|NA|NA	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
GUT_GENOME010010_00225	658088.HMPREF0987_00998	0.0	1168.3	unclassified Lachnospiraceae	nrdD		1.1.98.6	ko:K21636	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R11633,R11634,R11635,R11636	RC00613	ko00000,ko00001,ko00002,ko01000				Bacteria	1TR9K@1239,247WF@186801,27KJ3@186928,COG1328@1,COG1328@2	NA|NA|NA	F	Anaerobic ribonucleoside-triphosphate reductase
GUT_GENOME010010_00327	1235835.C814_02900	7.6e-41	173.7	Ruminococcaceae	chrB												Bacteria	1V6T7@1239,24KB9@186801,3WMS2@541000,COG4275@1,COG4275@2	NA|NA|NA	S	Chromate resistance exported protein
GUT_GENOME010010_00328	903814.ELI_2538	2.6e-174	618.6	Eubacteriaceae													Bacteria	1TQIR@1239,248BS@186801,25VE9@186806,COG0437@1,COG0437@2,COG4624@1,COG4624@2	NA|NA|NA	C	4Fe-4S binding domain protein
GUT_GENOME010010_00340	665956.HMPREF1032_00181	6.2e-57	227.3	Ruminococcaceae				ko:K07240					ko00000,ko02000	2.A.51.1			Bacteria	1V43H@1239,24JTX@186801,3WJIK@541000,COG2059@1,COG2059@2	NA|NA|NA	P	Chromate transporter
GUT_GENOME010010_00344	718252.FP2_28500	8.1e-93	347.1	Ruminococcaceae				ko:K06147,ko:K06148					ko00000,ko02000	3.A.1,3.A.1.106,3.A.1.109,3.A.1.21			Bacteria	1TSRV@1239,248P6@186801,3WIKC@541000,COG1132@1,COG1132@2	NA|NA|NA	V	ABC transporter transmembrane region
GUT_GENOME010010_00346	1151292.QEW_3582	8.8e-47	193.7	Peptostreptococcaceae													Bacteria	1V7YR@1239,24JVZ@186801,25SD3@186804,COG3382@1,COG3382@2	NA|NA|NA	S	B3/4 domain
GUT_GENOME010010_00349	1392491.JIAE01000001_gene2350	5e-22	110.5	Ruminococcaceae													Bacteria	1W0C5@1239,24S5N@186801,2ED8C@1,3374X@2,3WR1I@541000	NA|NA|NA		
GUT_GENOME010010_00350	768710.DesyoDRAFT_3947	2.8e-41	175.3	Peptococcaceae				ko:K09126					ko00000				Bacteria	1V1CN@1239,24G0M@186801,261NK@186807,COG1751@1,COG1751@2	NA|NA|NA	S	PFAM Pyruvate kinase, alpha beta domain
GUT_GENOME010010_00351	1232449.BAHV02000021_gene1039	3.2e-104	385.6	unclassified Clostridiales	braB	GO:0003333,GO:0003674,GO:0005215,GO:0005304,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015188,GO:0015190,GO:0015238,GO:0015318,GO:0015658,GO:0015711,GO:0015803,GO:0015804,GO:0015807,GO:0015818,GO:0015820,GO:0015829,GO:0015849,GO:0015893,GO:0016020,GO:0022857,GO:0034220,GO:0042221,GO:0042493,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:1902475,GO:1903785,GO:1903825,GO:1905039		ko:K03311					ko00000	2.A.26			Bacteria	1TQIS@1239,248I0@186801,267WB@186813,COG1114@1,COG1114@2	NA|NA|NA	E	Component of the transport system for branched-chain amino acids
