GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	Pfam	PF03841	L-seryl-tRNA selenium transferase	83	GUT_GENOME004548_00838;449	3.6E-159	T	26-06-2019	IPR018319	L-seryl-tRNA selenium transferase-like		KEGG: 00450+2.9.1.1|KEGG: 00970+2.9.1.1
GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	PANTHER	PTHR32328		5	GUT_GENOME004548_00838;464	6.8E-157	T	26-06-2019
GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	Pfam	PF12390	Selenocysteine synthase N terminal	11	GUT_GENOME004548_00838;48	1.3E-7	T	26-06-2019	IPR025862	L-seryl-tRNA selenium transferase N-terminal domain		KEGG: 00450+2.9.1.1|KEGG: 00970+2.9.1.1
GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	Gene3D	G3DSA:3.90.1150.110		13	GUT_GENOME004548_00838;453	1.3E-172	T	26-06-2019
GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	SUPERFAMILY	SSF53383		74	GUT_GENOME004548_00838;346	4.5E-49	T	26-06-2019	IPR015424	Pyridoxal phosphate-dependent transferase
GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	TIGRFAM	TIGR00474	selA: L-seryl-tRNA(Sec) selenium transferase	11	GUT_GENOME004548_00838;462	3.3E-183	T	26-06-2019	IPR004534	L-seryl-tRNA(Sec) selenium transferase	GO:0001514|GO:0004125|GO:0005737	KEGG: 00450+2.9.1.1|KEGG: 00970+2.9.1.1
GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	Hamap	MF_00423	L-seryl-tRNA(Sec) selenium transferase [selA].	1	GUT_GENOME004548_00838;467	206.728	T	26-06-2019	IPR004534	L-seryl-tRNA(Sec) selenium transferase	GO:0001514|GO:0004125|GO:0005737	KEGG: 00450+2.9.1.1|KEGG: 00970+2.9.1.1
GUT_GENOME286887_01808	GUT_GENOME004548_00838;094b60de5f798837e07c07e3656e1066	467	Gene3D	G3DSA:3.40.640.10		95	GUT_GENOME004548_00838;359	1.3E-172	T	26-06-2019	IPR015421	Pyridoxal phosphate-dependent transferase, major domain	GO:0003824
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	SFLD	SFLDF00295	threonylcarbamoyladenosine tRNA methylthiotransferase	2	GUT_GENOME004548_00945;426	0.0	T	26-06-2019	IPR034557	Threonylcarbamoyladenosine tRNA methylthiotransferase	GO:0035598|GO:0035600
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	Gene3D	G3DSA:3.40.50.12160		1	GUT_GENOME004548_00945;130	3.5E-22	T	26-06-2019	IPR038135	Methylthiotransferase, N-terminal domain superfamily
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	TIGRFAM	TIGR00089	TIGR00089: radical SAM methylthiotransferase, MiaB/RimO family	3	GUT_GENOME004548_00945;425	5.9E-122	T	26-06-2019	IPR005839	Methylthiotransferase	GO:0006400|GO:0016740|GO:0051539
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	SFLD	SFLDG01082	B12-binding domain containing	49	GUT_GENOME004548_00945;348	1.5E-27	T	26-06-2019
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	SUPERFAMILY	SSF102114		138	GUT_GENOME004548_00945;362	2.22E-55	T	26-06-2019
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	TIGRFAM	TIGR01579	MiaB-like-C: MiaB-like tRNA modifying enzyme	5	GUT_GENOME004548_00945;416	5.4E-130	T	26-06-2019	IPR006467	MiaB-like tRNA modifying enzyme	GO:0016740
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	CDD	cd01335	Radical_SAM	146	GUT_GENOME004548_00945;340	2.17498E-7	T	26-06-2019
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	ProSitePatterns	PS01278	Methylthiotransferase radical SAM domain signature.	146	GUT_GENOME004548_00945;166	-	T	26-06-2019	IPR020612	Methylthiotransferase, conserved site	GO:0051539
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	ProSiteProfiles	PS51449	Methylthiotransferase N-terminal domain profile.	1	GUT_GENOME004548_00945;113	31.119	T	26-06-2019	IPR013848	Methylthiotransferase, N-terminal	GO:0051539
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	PANTHER	PTHR11918:SF46		2	GUT_GENOME004548_00945;426	6.1E-148	T	26-06-2019
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	Pfam	PF00919	Uncharacterized protein family UPF0004	2	GUT_GENOME004548_00945;97	3.9E-24	T	26-06-2019	IPR013848	Methylthiotransferase, N-terminal	GO:0051539
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	SMART	SM00729		142	GUT_GENOME004548_00945;358	2.3E-53	T	26-06-2019	IPR006638	Elp3/MiaB/NifB	GO:0003824|GO:0051536
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	ProSiteProfiles	PS50926	TRAM domain profile.	369	GUT_GENOME004548_00945;429	10.903	T	26-06-2019	IPR002792	TRAM domain
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	Pfam	PF01938	TRAM domain	371	GUT_GENOME004548_00945;429	6.6E-5	T	26-06-2019	IPR002792	TRAM domain
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	Pfam	PF04055	Radical SAM superfamily	147	GUT_GENOME004548_00945;315	8.6E-21	T	26-06-2019	IPR007197	Radical SAM	GO:0003824|GO:0051536
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	SFLD	SFLDS00029	Radical SAM	2	GUT_GENOME004548_00945;426	0.0	T	26-06-2019	IPR007197	Radical SAM	GO:0003824|GO:0051536
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	Gene3D	G3DSA:3.80.30.20		139	GUT_GENOME004548_00945;370	9.5E-77	T	26-06-2019	IPR023404	Radical SAM, alpha/beta horseshoe
GUT_GENOME286887_01803	GUT_GENOME004548_00945;d1ac1af3dd02ef4324d383e4b2cfd8bc	429	PANTHER	PTHR11918		2	GUT_GENOME004548_00945;426	6.1E-148	T	26-06-2019
GUT_GENOME286887_01802	GUT_GENOME004548_00946;3c03be540b8ca47b79b3e2a40116ffe8	93	SUPERFAMILY	SSF54975		5	GUT_GENOME004548_00946;93	1.22E-25	T	26-06-2019	IPR036046	Acylphosphatase-like domain superfamily		KEGG: 00620+3.6.1.7|KEGG: 00627+3.6.1.7
GUT_GENOME286887_01802	GUT_GENOME004548_00946;3c03be540b8ca47b79b3e2a40116ffe8	93	ProSiteProfiles	PS51160	Acylphosphatase-like domain profile.	4	GUT_GENOME004548_00946;93	26.892	T	26-06-2019	IPR001792	Acylphosphatase-like domain		KEGG: 00620+3.6.1.7|KEGG: 00627+3.6.1.7
GUT_GENOME286887_01802	GUT_GENOME004548_00946;3c03be540b8ca47b79b3e2a40116ffe8	93	PRINTS	PR00112	Acylphosphatase signature	4	GUT_GENOME004548_00946;19	2.1E-6	T	26-06-2019	IPR020456	Acylphosphatase	GO:0003998	KEGG: 00620+3.6.1.7|KEGG: 00627+3.6.1.7
