#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
GUT_GENOME286887_01808	1408422.JHYF01000001_gene2675	GUT_GENOME004548_00838;2.2e-127	GUT_GENOME004548_00838;462.6	Clostridiaceae	selA	GO:0003674,GO:0003824,GO:0004125,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009059,GO:0009069,GO:0009070,GO:0009987,GO:0016053,GO:0016070,GO:0016259,GO:0016260,GO:0016740,GO:0016785,GO:0018130,GO:0019438,GO:0019752,GO:0019842,GO:0030170,GO:0032774,GO:0034641,GO:0034654,GO:0034660,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0090304,GO:0097056,GO:0097159,GO:0140098,GO:0140101,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.9.1.1	ko:K01042	ko00450,ko00970,map00450,map00970		R08219	RC01246	ko00000,ko00001,ko01000			iECP_1309.ECP_3693,iSbBS512_1146.SbBS512_E4006	Bacteria	1TQT8@1239,2498U@186801,36DPP@31979,COG1921@1,COG1921@2	NA|NA|NA	J	Converts seryl-tRNA(Sec) to selenocysteinyl-tRNA(Sec) required for selenoprotein biosynthesis
GUT_GENOME286887_01803	1235835.C814_01768	GUT_GENOME004548_00945;1.2e-148	GUT_GENOME004548_00945;533.1	Ruminococcaceae	yqeV	GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016782,GO:0034470,GO:0034641,GO:0034660,GO:0035596,GO:0035598,GO:0035600,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0050497,GO:0071704,GO:0090304,GO:1901360	2.8.4.5	ko:K18707			R10649	RC00003,RC03221	ko00000,ko01000,ko03016				Bacteria	1TPBR@1239,247IX@186801,3WG80@541000,COG0621@1,COG0621@2	NA|NA|NA	J	tRNA methylthiotransferase YqeV
GUT_GENOME286887_01802	500635.MITSMUL_03524	GUT_GENOME004548_00946;1.1e-14	GUT_GENOME004548_00946;85.9	Negativicutes	acyP	GO:0003674,GO:0003824,GO:0003998,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0016787,GO:0016817,GO:0016818,GO:0050896	3.6.1.7	ko:K01512	ko00620,ko00627,ko01120,map00620,map00627,map01120		R00317,R01421,R01515	RC00043	ko00000,ko00001,ko01000			iSBO_1134.SBO_2263,iSF_1195.SF0969,iSFxv_1172.SFxv_1053,iS_1188.S1036	Bacteria	1U4H0@1239,4H5P8@909932,COG1254@1,COG1254@2	NA|NA|NA	C	Acylphosphatase
GUT_GENOME286887_01801	445972.ANACOL_03711	GUT_GENOME010010_01130;0.0	GUT_GENOME010010_01130;1635.9	Ruminococcaceae	purL		6.3.5.3	ko:K01952	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04463	RC00010,RC01160	ko00000,ko00001,ko00002,ko01000				Bacteria	1TPAS@1239,247W2@186801,3WGRN@541000,COG0046@1,COG0046@2,COG0047@1,COG0047@2	NA|NA|NA	F	phosphoribosylformylglycinamidine synthase
GUT_GENOME286887_01800	1232443.BAIA02000099_gene3516	GUT_GENOME016753_01076;4.6e-111	GUT_GENOME016753_01076;409.8	Clostridia	amiA		3.5.1.28	ko:K01448	ko01503,map01503	M00727	R04112	RC00064,RC00141	ko00000,ko00001,ko00002,ko01000,ko01011,ko03036				Bacteria	1UVNU@1239,24BZ5@186801,COG0860@1,COG0860@2,COG1649@1,COG1649@2	NA|NA|NA	M	Ami_3
GUT_GENOME286887_01806	718252.FP2_31830	GUT_GENOME004548_00906;2.4e-60	GUT_GENOME004548_00906;238.8	Ruminococcaceae													Bacteria	1VBYU@1239,24N0Y@186801,3WMRP@541000,COG1669@1,COG1669@2	NA|NA|NA	S	Nucleotidyltransferase substrate binding protein like
GUT_GENOME286887_01805	1121344.JHZO01000003_gene691	GUT_GENOME004548_00905;1.3e-82	GUT_GENOME004548_00905;313.9	Clostridia													Bacteria	1TP0S@1239,24A9P@186801,COG1961@1,COG1961@2	NA|NA|NA	L	resolvase
GUT_GENOME286887_01804	1235835.C814_00497	GUT_GENOME004548_00904;1.6e-266	GUT_GENOME004548_00904;925.6	Ruminococcaceae	pcrA		3.6.4.12	ko:K03656,ko:K03657	ko03420,ko03430,map03420,map03430				ko00000,ko00001,ko01000,ko03400				Bacteria	1TPSU@1239,247RM@186801,3WGKX@541000,COG0210@1,COG0210@2	NA|NA|NA	L	ATP-dependent DNA helicase
GUT_GENOME286887_01977	428125.CLOLEP_00103	GUT_GENOME004548_01567;1.1e-169	GUT_GENOME004548_01567;603.2	Ruminococcaceae	hppA		3.6.1.1	ko:K01507,ko:K15987	ko00190,map00190				ko00000,ko00001,ko01000	3.A.10.1			Bacteria	1TNZI@1239,248KS@186801,3WHVU@541000,COG3808@1,COG3808@2	NA|NA|NA	C	pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for
GUT_GENOME286887_01976	658086.HMPREF0994_01140	GUT_GENOME010010_00182;5.9e-96	GUT_GENOME010010_00182;357.5	unclassified Lachnospiraceae	eno		4.2.1.11	ko:K01689	ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066	M00001,M00002,M00003,M00346,M00394	R00658	RC00349	ko00000,ko00001,ko00002,ko01000,ko03019,ko04147				Bacteria	1TP2S@1239,247TU@186801,27JIC@186928,COG0148@1,COG0148@2	NA|NA|NA	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
GUT_GENOME286887_01975	585394.RHOM_04645	GUT_GENOME010010_02012;3.6e-74	GUT_GENOME010010_02012;285.4	Clostridia	pdaA		3.5.1.28	ko:K01448,ko:K01567	ko01503,map01503	M00727	R04112	RC00064,RC00141	ko00000,ko00001,ko00002,ko01000,ko01011,ko03036				Bacteria	1TT1X@1239,249PF@186801,COG0726@1,COG0726@2,COG0860@1,COG0860@2	NA|NA|NA	G	delta-lactam-biosynthetic de-N-acetylase
GUT_GENOME286887_01974	610130.Closa_2812	GUT_GENOME010010_02039;3.5e-26	GUT_GENOME010010_02039;124.8	Lachnoclostridium													Bacteria	1VDAD@1239,220SM@1506553,24G9Y@186801,COG2105@1,COG2105@2	NA|NA|NA	S	Gamma-glutamyl cyclotransferase, AIG2-like
GUT_GENOME286887_01973	1235835.C814_02936	GUT_GENOME004548_00208;3.1e-84	GUT_GENOME004548_00208;318.5	Ruminococcaceae	parB			ko:K03497					ko00000,ko03000,ko03036,ko04812				Bacteria	1TQ2B@1239,249VV@186801,3WHV1@541000,COG1475@1,COG1475@2	NA|NA|NA	K	Belongs to the ParB family
GUT_GENOME286887_01972	445972.ANACOL_02175	GUT_GENOME004548_00209;1e-94	GUT_GENOME004548_00209;353.2	Ruminococcaceae	soj	GO:0008150,GO:0022603,GO:0042173,GO:0042174,GO:0043937,GO:0043939,GO:0045595,GO:0045596,GO:0048519,GO:0048523,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0065007		ko:K03496					ko00000,ko03036,ko04812				Bacteria	1TP8S@1239,2488C@186801,3WGTZ@541000,COG1192@1,COG1192@2	NA|NA|NA	D	CobQ CobB MinD ParA nucleotide binding domain
GUT_GENOME286887_01971	1105031.HMPREF1141_1998	GUT_GENOME004548_00210;8.2e-68	GUT_GENOME004548_00210;264.6	Clostridiaceae				ko:K13963	ko05146,map05146				ko00000,ko00001				Bacteria	1UYKX@1239,24B76@186801,36H7J@31979,COG4826@1,COG4826@2	NA|NA|NA	O	Belongs to the serpin family
GUT_GENOME286887_01970	1507.HMPREF0262_02759	GUT_GENOME004548_01111;5.7e-82	GUT_GENOME004548_01111;312.0	Clostridiaceae	pepD		3.4.21.107	ko:K04771,ko:K08372	ko01503,ko02020,map01503,map02020	M00728			ko00000,ko00001,ko00002,ko01000,ko01002,ko03110				Bacteria	1TRM8@1239,247M5@186801,36DM2@31979,COG0265@1,COG0265@2	NA|NA|NA	O	PDZ DHR GLGF domain protein
GUT_GENOME286887_01979	537013.CLOSTMETH_03458	GUT_GENOME004548_01570;4e-10	GUT_GENOME004548_01570;70.1	Clostridia													Bacteria	1VM5F@1239,24V32@186801,2EJ02@1,33CR7@2	NA|NA|NA	S	Psort location Cytoplasmic, score
GUT_GENOME286887_01978	877414.ATWA01000045_gene1862	GUT_GENOME004548_01569;5e-28	GUT_GENOME004548_01569;130.6	Bacteria	smf			ko:K04096					ko00000				Bacteria	COG0758@1,COG0758@2	NA|NA|NA	LU	DNA mediated transformation
GUT_GENOME286887_01424	1163671.JAGI01000002_gene1671	GUT_GENOME004548_00572;7e-38	GUT_GENOME004548_00572;164.1	Clostridiaceae	dedA		3.1.3.1	ko:K01077	ko00730,ko00790,ko01100,ko02020,map00730,map00790,map01100,map02020	M00126	R02135,R04620	RC00017	ko00000,ko00001,ko00002,ko00537,ko01000,ko04147				Bacteria	1TS2R@1239,24HX6@186801,36IZ3@31979,COG0586@1,COG0586@2	NA|NA|NA	S	PFAM SNARE associated Golgi protein
GUT_GENOME286887_01427	1235835.C814_02324	GUT_GENOME004548_00570;1.5e-20	GUT_GENOME004548_00570;107.1	Ruminococcaceae													Bacteria	1TR1B@1239,24AAY@186801,3WSBV@541000,COG1316@1,COG1316@2	NA|NA|NA	K	Cell envelope-related transcriptional attenuator domain
GUT_GENOME286887_01426	908340.HMPREF9406_1245	GUT_GENOME004548_00571;2.3e-50	GUT_GENOME004548_00571;205.3	Clostridiaceae	actI		1.5.1.36	ko:K00484	ko00350,ko00740,ko01100,ko01120,ko01220,map00350,map00740,map01100,map01120,map01220		R02698,R03299,R05705,R09748,R09750	RC00046,RC00126	ko00000,ko00001,ko01000				Bacteria	1V41U@1239,24HTA@186801,36W80@31979,COG1853@1,COG1853@2	NA|NA|NA	S	PFAM Flavin reductase like domain
GUT_GENOME286887_01421	1408437.JNJN01000018_gene2348	GUT_GENOME004548_00575;2.1e-44	GUT_GENOME004548_00575;185.7	Eubacteriaceae	ribU												Bacteria	1V4BW@1239,24E4V@186801,25W7G@186806,COG3601@1,COG3601@2	NA|NA|NA	U	Mediates riboflavin uptake, may also transport FMN and roseoflavin. Probably a riboflavin-binding protein that interacts with the energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. The substrates themselves are bound by transmembrane, not extracytoplasmic soluble proteins
GUT_GENOME286887_01423	428125.CLOLEP_01546	GUT_GENOME004548_00573;2.4e-18	GUT_GENOME004548_00573;99.0	Ruminococcaceae			3.6.1.27	ko:K19302	ko00550,map00550		R05627	RC00002	ko00000,ko00001,ko01000,ko01011				Bacteria	1VB2R@1239,24MQ9@186801,3WMS0@541000,COG0671@1,COG0671@2	NA|NA|NA	I	Psort location CytoplasmicMembrane, score
GUT_GENOME286887_01016	1226322.HMPREF1545_01877	GUT_GENOME004548_01694;1.4e-95	GUT_GENOME004548_01694;355.9	Oscillospiraceae													Bacteria	1U4FM@1239,24DF2@186801,2N8CI@216572,COG0745@1,COG0745@2	NA|NA|NA	T	Transcriptional regulatory protein, C terminal
GUT_GENOME286887_00018	1384065.JAGS01000001_gene1020	GUT_GENOME004548_00592;3e-14	GUT_GENOME004548_00592;85.5	Ruminococcaceae	spoIIIAG			ko:K06396					ko00000				Bacteria	1V7J4@1239,24J8Z@186801,2E6BB@1,32FH3@2,3WKIY@541000	NA|NA|NA	S	stage III sporulation protein AG
